procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12770032  11600  98560    0    0     0     0  417 1680  0  0 100  0  0
 0  0      0 12770032  11600  98560    0    0     0     0  912 3615  0  1 99  0  0
 0  0      0 12770032  11600  98560    0    0     0     0  410 1684  0  0 100  0  0
 0  0      0 12770032  11608  98552    0    0     0    12  416 1687  0  0 100  0  0
 0  0      0 12770032  11608  98552    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770032  11608  98552    0    0     0     0  409 1669  0  0 100  0  0
 0  0      0 12770032  11608  98552    0    0     0     0  912 3616  0  1 99  0  0
 0  0      0 12770032  11608  98552    0    0     0     0    3   27  0  0 100  0  0
 0  0      0 12770032  11608  98552    0    0     0     0    2   26  0  0 100  0  0
 0  0      0 12770032  11616  98544    0    0     0    12    5   32  0  0 100  0  0
 0  0      0 12770032  11616  98544    0    0     0     0 1405 5541  0  0 99  0  0
 0  0      0 12770032  11616  98544    0    0     0     0  907 3618  0  0 99  0  0
 0  0      0 12770032  11616  98544    0    0     0     0  912 3617  0  0 100  0  0
 0  0      0 12770032  11616  98544    0    0     0     0    4   32  0  0 100  0  0
 0  0      0 12770032  11616  98544    0    0     0     0  916 3611  0  1 99  0  0
 0  0      0 12770032  11624  98536    0    0     0    12  828 3296  0  0 99  0  0
 0  0      0 12770032  11624  98536    0    0     0     0  908 3611  0  0 99  0  0
 0  0      0 12769780  11624  98536    0    0     0    28  823 3325  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769772  11624  98560    0    0     0     0 1000 3905  0  0 99  0  0
 0  0      0 12769780  11624  98560    0    0     0     0  411 1670  0  0 100  0  0
 0  0      0 12769780  11624  98560    0    0     0     0 1317 5264  0  0 99  0  0
 0  0      0 12769780  11632  98552    0    0     0    12  416 1688  0  0 100  0  0
 0  0      0 12769780  11632  98560    0    0     0     4  911 3623  0  1 99  0  0
 0  0      0 12769780  11632  98560    0    0     0     0  525 2119  0  0 100  0  0
 0  0      0 12769780  11632  98564    0    0     0     0  449 1802  0  0 100  0  0
 0  0      0 12769780  11632  98564    0    0     0     0  125  539  0  0 100  0  0
 0  0      0 12769780  11632  98564    0    0     0     0  503 1977  0  0 100  0  0
 0  0      0 12769780  11640  98564    0    0     0    40  826 3334  0  0 100  0  0
 0  0      0 12769780  11640  98564    0    0     0     0  908 3607  0  0 99  0  0
 0  0      0 12769780  11640  98564    0    0     0     0  912 3605  0  1 99  0  0
 0  0      0 12769780  11640  98564    0    0     0     0  824 3318  0  1 99  0  0
 0  0      0 12769780  11640  98564    0    0     0     0  835 3325  0  0 99  0  0
 0  0      0 12769780  11648  98556    0    0     0    12  489 1989  0  0 99  0  0
 0  0      0 12769780  11648  98556    0    0     0     0    2   18  0  0 100  0  0
 0  0      0 12769780  11648  98556    0    0     0     0  523 2109  0  0 100  0  0
 0  0      0 12769780  11648  98556    0    0     0     0    3   30  0  0 100  0  0
